iter	Logloss
0	0.6497462399
1	0.6171356669
2	0.5910880103
3	0.5656496541
4	0.5507261346
5	0.5352257596
6	0.5195956505
7	0.5120255953
8	0.5039189273
9	0.490965917
10	0.4827686671
11	0.4697927916
12	0.4596457908
13	0.4551154812
14	0.4489389387
15	0.4457103646
16	0.4403406348
17	0.4327057624
18	0.4281348652
19	0.4237519388
20	0.4181291977
21	0.4144900621
22	0.4109513931
23	0.4100756778
24	0.4068355142
25	0.4029597274
26	0.3980126358
27	0.3955424969
28	0.392894787
29	0.3927049033
30	0.3909764959
31	0.3871376316
32	0.3820734389
33	0.3781799014
34	0.3743472576
35	0.3718931269
36	0.3693994872
37	0.368943828
38	0.3663437662
39	0.3586026552
40	0.3563103247
41	0.3529447503
42	0.3527994592
43	0.3496462124
44	0.3457419802
45	0.3427585986
46	0.3399558191
47	0.3372280071
48	0.3322250562
49	0.3294880162
50	0.3272417509
51	0.3257332464
52	0.322905601
53	0.3222536523
54	0.3208461036
55	0.3175951354
56	0.3154622006
57	0.3130568202
58	0.3117362163
59	0.3079260391
60	0.3039845845
61	0.302107308
62	0.3012857243
63	0.2997264485
64	0.2994233067
65	0.2969219803
66	0.2950487177
67	0.2918573929
68	0.2891987385
69	0.2872512003
70	0.2845677329
71	0.2845134158
72	0.2821956484
73	0.2796352823
74	0.2780484498
75	0.276792957
76	0.2737733502
77	0.2722255676
78	0.2701438771
79	0.2686491276
80	0.2674474428
81	0.2654754276
82	0.2633930481
83	0.2626761567
84	0.2608085669
85	0.258534198
86	0.2555271985
87	0.2534752432
88	0.2508954861
89	0.2494243881
90	0.2479997923
91	0.246348064
92	0.2438503954
93	0.2420032087
94	0.240471382
95	0.2383884958
96	0.2358864599
97	0.2335544764
98	0.2321512205
99	0.2307708856
100	0.2302641551
101	0.2279345789
102	0.2263387067
103	0.22537243
104	0.2241975353
105	0.2232987655
106	0.2220845714
107	0.2204782468
108	0.2196677372
109	0.217899691
110	0.2171833705
111	0.2163733358
112	0.2155228802
113	0.2139978253
114	0.2135295769
115	0.2122990881
116	0.2104106889
117	0.2089374713
118	0.2077887716
119	0.2068469611
120	0.2062351969
121	0.2058046653
122	0.2041384319
123	0.2032833609
124	0.2021486587
125	0.2014385239
126	0.1998881735
127	0.1984701736
128	0.1975955786
129	0.1968445885
130	0.196250545
131	0.1954975292
132	0.1949995032
133	0.1947078654
134	0.1940989743
135	0.1938098472
136	0.1934198879
137	0.1926812446
138	0.1919907748
139	0.1907867388
140	0.1901379259
141	0.1892598112
142	0.1885193787
143	0.1881831225
144	0.1875115647
145	0.1864093613
146	0.1854650737
147	0.1841579977
148	0.1836543381
149	0.1830697641
150	0.1823548536
151	0.1815864668
152	0.1810067752
153	0.1804168625
154	0.1795223323
155	0.1790923447
156	0.1778965549
157	0.1774538587
158	0.1772418588
159	0.1769018854
160	0.1761245426
161	0.1758004469
162	0.1755890809
163	0.1750770969
164	0.1743232992
165	0.1736278132
166	0.1732105942
167	0.1726989645
168	0.1720002321
169	0.1718437906
170	0.1711830572
171	0.170744456
172	0.1702200258
173	0.1697418486
174	0.1693857832
175	0.1684913758
176	0.1673516221
177	0.1670892863
178	0.1666350226
179	0.1661279918
180	0.165927845
181	0.1649123482
182	0.1645011681
183	0.1643253818
184	0.164106365
185	0.1636948741
186	0.16305208
187	0.1628050891
188	0.1619226357
189	0.1611573717
190	0.1607389986
191	0.1601894405
192	0.1595454921
193	0.159162778
194	0.1586988093
195	0.1585280987
196	0.1580790737
197	0.1576030715
198	0.1571420971
199	0.15650964
